Cation,Anion,target
CCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCC)c2)cc1,[I-],0.01513
CCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCC)c2)cc1,[I-],0.01902
CCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCC)c2)cc1,[I-],0.02351
CCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCC)c2)cc1,[I-],>0.3
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.01351
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.01076
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.0113
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1,F[B-](F)(F)F,>0.3
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.01433
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.01205
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.0105
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,>0.3
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.04003
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.03381
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.038
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,>0.3
CCCCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCCCC)c2)cc1,[I-],0.02694
CCCCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCCCC)c2)cc1,[I-],0.03008
CCCCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCCCC)c2)cc1,[I-],0.02982
CCCCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCCCC)c2)cc1,[I-],>0.3
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.0443
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.03934
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.04036
CCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCC)c2)cc1,F[B-](F)(F)F,>0.3
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.08775
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.0923
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.1001
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,>0.3
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.08222
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.09306
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.09621
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,>0.3
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,[I-],0.007111
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,[I-],0.01009
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,[I-],0.01123
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,[I-],>0.3
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.114
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.10819
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.10372
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,F[B-](F)(F)F,>0.3
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.03348
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.02803
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.01941
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,>0.3
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.03281
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.02019
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,0.01988
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,F[P-](F)(F)(F)(F)F,>0.3
CCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCC)c2)cc1,[I-],0.05556
CCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCC)c2)cc1,[I-],0.06322
CCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCC)c2)cc1,[I-],0.06014
CCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCC)c2)cc1,[I-],>0.3
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.03142
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.03262
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,F[B-](F)(F)F,0.03302
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,F[B-](F)(F)F,>0.3
CCCCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.92
CCCCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.947
CCCCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.904
