Cation,Anion,target,Cation_Organic,Anion_Organic,both_Organic,only_one_Organic
CC(C)[C@@H](C(=O)NCc1ccccc1)n1cc[n+](Cc2cc(C[n+]3ccn([C@H](C(=O)NCc4ccccc4)C(C)C)c3)cc(C[n+]3ccn([C@H](C(=O)NCc4ccccc4)C(C)C)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.093,True,True,True,False
CC(C)[C@@H](C(=O)NCc1ccccc1)n1cc[n+](Cc2cc(C[n+]3ccn([C@H](C(=O)NCc4ccccc4)C(C)C)c3)cc(C[n+]3ccn([C@H](C(=O)NCc4ccccc4)C(C)C)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.096,True,True,True,False
CC(C)[C@@H](C(=O)NCc1ccccc1)n1cc[n+](Cc2cc(C[n+]3ccn([C@H](C(=O)NCc4ccccc4)C(C)C)c3)cc(C[n+]3ccn([C@H](C(=O)NCc4ccccc4)C(C)C)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2,True,True,True,False
CC(C)[C@@H](C(=O)NCc1ccccc1)n1cc[n+](Cc2cc(C[n+]3ccn([C@H](C(=O)NCc4ccccc4)C(C)C)c3)cc(C[n+]3ccn([C@H](C(=O)NCc4ccccc4)C(C)C)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2,True,True,True,False
CC(C)[C@@H](C(=O)NCc1ccccc1)n1cc[n+](Cc2cc(C[n+]3ccn([C@H](C(=O)NCc4ccccc4)C(C)C)c3)cc(C[n+]3ccn([C@H](C(=O)NCc4ccccc4)C(C)C)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.042,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.021,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.005,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0458,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0222,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0028,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0031,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](Cc1ccccc1)n1cc[n+](Cc2cc(Cn3cc[n+]([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)cc(C[n+]3ccn([C@@H](Cc4ccccc4)C(=O)NCCCCCCCCCCCC)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0028,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](C(C)C)n1cc[n+](Cc2cc(C[n+]3ccn([C@H](C(=O)NCCCCCCCCCCCC)C(C)C)c3)cc(C[n+]3ccn([C@H](C(=O)NCCCCCCCCCCCC)C(C)C)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0171,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](C(C)C)n1cc[n+](Cc2cc(C[n+]3ccn([C@H](C(=O)NCCCCCCCCCCCC)C(C)C)c3)cc(C[n+]3ccn([C@H](C(=O)NCCCCCCCCCCCC)C(C)C)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0073,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](C(C)C)n1cc[n+](Cc2cc(C[n+]3ccn([C@H](C(=O)NCCCCCCCCCCCC)C(C)C)c3)cc(C[n+]3ccn([C@H](C(=O)NCCCCCCCCCCCC)C(C)C)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.099,True,True,True,False
CCCCCCCCCCCCNC(=O)[C@H](C(C)C)n1cc[n+](Cc2cc(C[n+]3ccn([C@H](C(=O)NCCCCCCCCCCCC)C(C)C)c3)cc(C[n+]3ccn([C@H](C(=O)NCCCCCCCCCCCC)C(C)C)c3)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.089,True,True,True,False
