Canonical SMILES,"CC50/IC50/EC50, mM",filename
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.02001,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.019,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.01805,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.02347,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.02912,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.0256,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCC)c2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.3,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCC)c2)cc1.[I-].[I-],0.01513,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCC)c2)cc1.[I-].[I-],0.01902,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCC)c2)cc1.[I-].[I-],0.02351,polycharged.csv
CCCCCCCCCC[n+]1ccc(C(=O)NN=Cc2ccc[n+](CCCCCCCCCC)c2)cc1.[I-].[I-],0.3,polycharged.csv
